Booking Date,Booking ID,Country,Hotel,Distribution Channel,Customer Type,Guests,Avg. Lead Time,Revenue,Avg. Daily Rate,Revenue Loss,Nights,Status
2021-01-05,10017,Italy,City,Online Travel Agent,Transient-Party,1,2.4,131.30,131.30,0.00,1,Check-Out
2021-01-05,10018,Mexico,City,Online Travel Agent,Group,2,3.6,358.95,119.65,0.00,3,Check-Out
2021-01-05,10019,India,City,Online Travel Agent,Transient,2,0.4,304.00,76.00,0.00,4,Check-Out
2021-01-06,10020,Mexico,City,Direct,Group,4,7.7,384.36,192.18,0.00,2,Check-Out
2021-01-06,10021,Italy,Resort,Direct,Transient,1,5.3,592.86,197.62,0.00,3,Check-Out
2021-01-06,10022,Germany,City,Direct,Transient-Party,3,1,92.34,92.34,0.00,1,Check-Out
2021-01-06,10023,India,City,Direct,Transient,2,1.5,575.28,191.76,0.00,3,Check-Out
2021-01-06,10024,Mexico,Resort,Direct,Group,1,9.5,241.56,80.52,0.00,3,Check-Out
2021-01-06,10025,Brazil,City,Online Travel Agent,Transient-Party,4,1.3,457.40,91.48,0.00,5,Check-Out
2021-01-07,10026,India,Resort,Direct,Transient-Party,4,4.5,236.44,59.11,0.00,4,Check-Out
2021-01-07,10027,India,Resort,Direct,Transient-Party,1,0.1,383.12,95.78,0.00,4,Check-Out
2021-01-07,10028,Portugal,City,Online Travel Agent,Group,1,4.5,246.27,82.09,0.00,3,Check-Out
2021-01-07,10029,France,City,Online Travel Agent,Transient,4,4.2,184.34,92.17,0.00,2,Check-Out
2021-01-07,10030,Brazil,City,Direct,Group,2,6.8,381.50,190.75,0.00,2,Check-Out
2021-01-07,10031,Portugal,Resort,Online Travel Agent,Group,3,4.8,380.85,126.95,0.00,3,Check-Out
2021-01-08,10032,USA,City,Direct,Transient,4,6.1,792.48,198.12,0.00,4,Check-Out
2021-01-08,10033,India,City,Online Travel Agent,Group,3,7.8,384.80,76.96,0.00,5,Check-Out
2021-01-08,10034,Germany,Resort,Direct,Group,3,3.8,346.17,115.39,0.00,3,Check-Out
2021-01-08,10035,India,Resort,Online Travel Agent,Transient,2,2.9,307.28,153.64,0.00,2,Check-Out
2021-01-08,10036,Italy,Resort,Direct,Group,4,3.3,155.68,77.84,0.00,2,Check-Out
2021-01-09,10037,Brazil,City,Direct,Group,1,0.2,316.94,158.47,0.00,2,Check-Out
2021-01-09,10038,Brazil,City,Direct,Group,1,4.4,191.88,191.88,0.00,1,Check-Out
2021-01-09,10039,Spain,Resort,Direct,Group,2,6.9,300.76,150.38,0.00,2,Check-Out
2021-01-09,10040,Netherlands,Resort,Direct,Transient-Party,2,8.8,151.60,75.80,0.00,2,Check-Out
2021-01-09,10041,Netherlands,Resort,Online Travel Agent,Transient-Party,2,9.6,61.74,61.74,0.00,1,Check-Out
2021-01-09,10042,Brazil,Resort,Online Travel Agent,Group,2,6.9,161.80,80.90,0.00,2,Check-Out
2021-01-09,10043,France,City,Online Travel Agent,Transient,4,1.8,86.66,86.66,0.00,1,Check-Out
2021-01-09,10044,USA,Resort,Direct,Transient,4,6.1,506.15,101.23,0.00,5,Check-Out
2021-01-10,10045,Spain,Resort,Online Travel Agent,Group,2,8.9,154.72,154.72,0.00,1,Check-Out
2021-01-10,10046,Netherlands,City,Online Travel Agent,Group,3,5.7,0.00,189.59,-189.59,1,Canceled
2021-01-10,10047,Portugal,Resort,Direct,Group,4,8.8,394.45,78.89,0.00,5,Check-Out
2021-01-10,10048,Germany,Resort,Online Travel Agent,Transient-Party,4,7.7,288.04,72.01,0.00,4,Check-Out
2021-01-11,10049,Portugal,Resort,Direct,Transient-Party,4,4.5,647.28,161.82,0.00,4,Check-Out
2021-01-11,10050,Germany,City,Online Travel Agent,Group,1,0.4,64.45,64.45,0.00,1,Check-Out
2021-01-11,10051,Spain,City,Online Travel Agent,Transient,2,8.3,351.54,117.18,0.00,3,Check-Out
2021-01-11,10052,Spain,Resort,Direct,Group,3,4,355.30,71.06,0.00,5,Check-Out
2021-01-12,10053,USA,City,Direct,Transient-Party,3,9.4,155.91,51.97,0.00,3,Check-Out
2021-01-12,10054,Mexico,Resort,Online Travel Agent,Transient,1,6.9,185.09,185.09,0.00,1,Check-Out
2021-01-12,10055,Brazil,Resort,Online Travel Agent,Group,4,8.4,392.19,130.73,0.00,3,Check-Out
2021-01-12,10056,Italy,Resort,Direct,Transient-Party,4,4.7,586.76,146.69,0.00,4,Check-Out
2021-01-12,10057,USA,City,Online Travel Agent,Transient-Party,1,3.5,517.11,172.37,0.00,3,Check-Out
2021-01-13,10058,Netherlands,City,Online Travel Agent,Group,3,3.6,83.66,83.66,0.00,1,Check-Out
2021-01-13,10059,USA,Resort,Direct,Transient-Party,1,9.9,467.72,116.93,0.00,4,Check-Out
2021-01-13,10060,USA,City,Direct,Transient,2,5.5,347.98,173.99,0.00,2,Check-Out
2021-01-13,10061,Germany,Resort,Direct,Group,2,3.4,173.16,57.72,0.00,3,Check-Out
2021-01-13,10062,Brazil,Resort,Online Travel Agent,Group,4,9.4,177.88,177.88,0.00,1,Check-Out
2021-01-13,10063,USA,Resort,Online Travel Agent,Transient-Party,4,0.2,277.05,92.35,0.00,3,Check-Out
2021-01-14,10064,Brazil,Resort,Online Travel Agent,Transient-Party,3,3.5,303.30,151.65,0.00,2,Check-Out
2021-01-14,10065,Germany,City,Direct,Transient-Party,4,4.6,130.66,130.66,0.00,1,Check-Out
2021-01-14,10066,Germany,Resort,Online Travel Agent,Transient,1,3.7,113.66,113.66,0.00,1,Check-Out
2021-01-14,10067,Brazil,City,Direct,Transient-Party,1,7.4,357.20,178.60,0.00,2,Check-Out
2021-01-15,10068,Brazil,City,Direct,Group,3,5.4,272.46,90.82,0.00,3,Check-Out
2021-01-15,10069,Portugal,City,Online Travel Agent,Transient,2,0.7,398.68,199.34,0.00,2,Check-Out
2021-01-15,10070,Germany,City,Direct,Transient,3,5.9,169.12,84.56,0.00,2,Check-Out
2021-01-16,10071,Germany,City,Online Travel Agent,Group,1,0.9,215.67,71.89,0.00,3,Check-Out
2021-01-16,10072,Italy,Resort,Direct,Transient-Party,2,9.6,338.06,169.03,0.00,2,Check-Out
2021-01-16,10073,Germany,Resort,Direct,Group,2,8.6,537.39,179.13,0.00,3,Check-Out
2021-01-16,10074,Brazil,City,Online Travel Agent,Transient,1,3,0.00,152.35,-152.35,1,Canceled
2021-01-16,10075,India,City,Online Travel Agent,Transient,3,6.2,398.40,99.60,0.00,4,Check-Out
2021-01-17,10076,Portugal,City,Online Travel Agent,Group,1,0.9,163.92,54.64,0.00,3,Check-Out
2021-01-17,10077,Netherlands,City,Online Travel Agent,Transient-Party,3,7.3,185.78,185.78,0.00,1,Check-Out
2021-01-17,10078,Brazil,City,Direct,Group,4,1.9,146.20,73.10,0.00,2,Check-Out
2021-01-17,10079,Portugal,Resort,Online Travel Agent,Transient,3,4.9,90.03,90.03,0.00,1,Check-Out
2021-01-17,10080,Mexico,Resort,Online Travel Agent,Transient,2,3.9,191.87,191.87,0.00,1,Check-Out
2021-01-17,10081,France,City,Direct,Transient,2,10,301.48,75.37,0.00,4,Check-Out
2021-01-17,10082,India,Resort,Online Travel Agent,Transient,3,1.9,380.78,190.39,0.00,2,Check-Out
2021-01-17,10083,Portugal,Resort,Online Travel Agent,Group,4,0.7,58.45,58.45,0.00,1,Check-Out
2021-01-18,10084,Mexico,Resort,Online Travel Agent,Transient,3,1,0.00,113.99,-455.96,4,Canceled
2021-01-18,10085,Mexico,Resort,Direct,Transient-Party,1,7.5,193.18,96.59,0.00,2,Check-Out
2021-01-18,10086,Netherlands,Resort,Direct,Group,4,2.3,579.66,193.22,0.00,3,Check-Out
2021-01-18,10087,Brazil,City,Direct,Transient-Party,4,8.3,794.96,198.74,0.00,4,Check-Out
2021-01-19,10088,France,Resort,Direct,Transient,3,5.1,273.15,91.05,0.00,3,Check-Out
2021-01-19,10089,Netherlands,City,Direct,Group,3,6.6,698.55,139.71,0.00,5,Check-Out
2021-01-19,10090,USA,City,Direct,Group,4,7,677.05,135.41,0.00,5,Check-Out
2021-01-19,10091,Germany,City,Online Travel Agent,Transient-Party,4,0.7,245.48,122.74,0.00,2,Check-Out
2021-01-19,10092,Mexico,City,Direct,Transient-Party,1,8,56.47,56.47,0.00,1,Check-Out
2021-01-19,10093,France,Resort,Direct,Transient,1,4.4,591.00,147.75,0.00,4,Check-Out
2021-01-19,10094,Brazil,City,Online Travel Agent,Group,3,3.7,514.68,171.56,0.00,3,Check-Out
2021-01-20,10095,Mexico,Resort,Online Travel Agent,Transient,4,4.1,0.00,88.80,-266.40,3,Canceled
2021-01-20,10096,Brazil,City,Online Travel Agent,Transient,3,6.8,193.70,193.70,0.00,1,Check-Out
2021-01-22,10097,France,Resort,Online Travel Agent,Group,2,7.7,305.90,152.95,0.00,2,Check-Out
2021-01-22,10098,Portugal,Resort,Direct,Group,2,5.8,377.55,125.85,0.00,3,Check-Out
2021-01-22,10099,India,Resort,Online Travel Agent,Transient-Party,3,4,102.52,51.26,0.00,2,Check-Out
2021-01-22,10100,USA,Resort,Direct,Transient,2,9.7,287.30,57.46,0.00,5,Check-Out
2021-01-22,10101,Germany,City,Online Travel Agent,Transient,2,2.9,523.74,174.58,0.00,3,Check-Out
2021-01-22,10102,USA,Resort,Online Travel Agent,Transient-Party,3,3.2,770.32,192.58,0.00,4,Check-Out
2021-01-22,10103,Italy,City,Online Travel Agent,Transient-Party,3,0.2,888.05,177.61,0.00,5,Check-Out
2021-01-23,10104,India,City,Online Travel Agent,Transient,4,6.3,137.50,137.50,0.00,1,Check-Out
2021-01-23,10105,Brazil,City,Direct,Transient,4,6.1,432.39,144.13,0.00,3,Check-Out
2021-01-23,10106,Brazil,City,Direct,Transient-Party,1,7.7,983.45,196.69,0.00,5,Check-Out
2021-01-23,10107,Germany,City,Online Travel Agent,Transient-Party,1,7.5,0.00,54.68,-164.04,3,Canceled
2021-01-23,10108,Italy,Resort,Direct,Group,2,4.4,405.69,135.23,0.00,3,Check-Out
2021-01-23,10109,Brazil,Resort,Online Travel Agent,Group,4,9.9,0.00,74.58,-149.16,2,Canceled
2021-01-24,10110,France,Resort,Direct,Transient,1,3.6,853.90,170.78,0.00,5,Check-Out
2021-01-24,10111,Brazil,City,Direct,Group,1,4.6,129.39,129.39,0.00,1,Check-Out
2021-01-24,10112,France,Resort,Online Travel Agent,Transient,1,1.3,580.44,145.11,0.00,4,Check-Out
2021-01-25,10113,Netherlands,Resort,Direct,Group,2,0.1,386.20,77.24,0.00,5,Check-Out
2021-01-25,10114,Italy,City,Online Travel Agent,Group,1,9.2,664.50,132.90,0.00,5,Check-Out
2021-01-25,10115,Portugal,City,Direct,Transient-Party,4,5.2,654.68,163.67,0.00,4,Check-Out
2021-01-25,10116,India,Resort,Direct,Transient,2,0.6,790.12,197.53,0.00,4,Check-Out
2021-01-25,10117,Portugal,City,Direct,Transient-Party,4,3.9,445.05,89.01,0.00,5,Check-Out
2021-01-25,10118,India,Resort,Online Travel Agent,Transient-Party,4,4.9,380.01,126.67,0.00,3,Check-Out
2021-01-26,10119,USA,City,Online Travel Agent,Transient-Party,4,3.5,292.17,97.39,0.00,3,Check-Out
2021-01-26,10120,USA,Resort,Direct,Group,3,3.3,149.78,149.78,0.00,1,Check-Out
2021-01-26,10121,Spain,City,Online Travel Agent,Transient-Party,2,9.1,767.10,153.42,0.00,5,Check-Out
2021-01-26,10122,India,Resort,Direct,Transient,3,7.2,366.85,73.37,0.00,5,Check-Out
2021-01-26,10123,Brazil,City,Online Travel Agent,Group,2,8.2,515.75,103.15,0.00,5,Check-Out
2021-01-26,10124,India,City,Direct,Transient,1,0,513.57,171.19,0.00,3,Check-Out
2021-01-27,10125,Germany,City,Direct,Group,1,8.5,397.47,132.49,0.00,3,Check-Out
2021-01-27,10126,Italy,Resort,Online Travel Agent,Transient,3,7.7,327.50,163.75,0.00,2,Check-Out
2021-01-27,10127,France,Resort,Online Travel Agent,Transient,3,1.5,179.78,179.78,0.00,1,Check-Out
2021-01-27,10128,France,Resort,Online Travel Agent,Group,2,6.4,236.22,118.11,0.00,2,Check-Out
2021-01-27,10129,India,Resort,Direct,Group,2,8.2,748.40,187.10,0.00,4,Check-Out
2021-01-27,10130,USA,Resort,Direct,Transient-Party,1,0.9,0.00,153.03,-306.06,2,Canceled
2021-01-27,10131,Mexico,City,Online Travel Agent,Group,3,3.4,180.48,90.24,0.00,2,Check-Out
2021-01-27,10132,Germany,Resort,Direct,Group,1,0.1,240.16,60.04,0.00,4,Check-Out
2021-01-27,10133,Netherlands,Resort,Online Travel Agent,Group,1,1.4,104.55,104.55,0.00,1,Check-Out
2021-01-27,10134,Spain,Resort,Direct,Transient-Party,4,3.3,735.28,183.82,0.00,4,Check-Out
2021-01-28,10135,Spain,Resort,Online Travel Agent,Group,1,4.5,131.21,131.21,0.00,1,Check-Out
2021-01-28,10136,Italy,City,Online Travel Agent,Transient-Party,4,10,0.00,53.21,-266.05,5,Canceled
2021-01-28,10137,Netherlands,City,Online Travel Agent,Group,4,4.8,199.23,66.41,0.00,3,Check-Out
2021-01-28,10138,India,Resort,Online Travel Agent,Transient,4,2.5,317.04,79.26,0.00,4,Check-Out
2021-01-28,10139,India,City,Direct,Transient-Party,3,7.2,238.78,119.39,0.00,2,Check-Out
2021-01-28,10140,Spain,Resort,Direct,Transient-Party,2,1,176.34,88.17,0.00,2,Check-Out
2021-01-29,10141,USA,Resort,Direct,Transient-Party,3,4.6,355.96,177.98,0.00,2,Check-Out
2021-01-29,10142,Italy,City,Direct,Transient-Party,2,9.5,170.13,56.71,0.00,3,Check-Out
2021-01-29,10143,Germany,City,Online Travel Agent,Transient-Party,4,5.4,419.60,104.90,0.00,4,Check-Out
2021-01-29,10144,Mexico,Resort,Online Travel Agent,Transient,3,3.4,111.33,111.33,0.00,1,Check-Out
2021-01-29,10145,India,Resort,Direct,Transient,4,0.7,155.36,155.36,0.00,1,Check-Out
2021-01-29,10146,Brazil,City,Online Travel Agent,Transient,4,5.3,275.92,137.96,0.00,2,Check-Out
2021-01-29,10147,Netherlands,City,Online Travel Agent,Group,3,5.7,552.92,138.23,0.00,4,Check-Out
2021-01-30,10148,Spain,City,Online Travel Agent,Transient-Party,3,0.4,183.39,183.39,0.00,1,Check-Out
2021-01-30,10149,France,Resort,Direct,Transient-Party,1,4.4,0.00,57.28,-57.28,1,Canceled
2021-01-30,10150,Germany,City,Online Travel Agent,Transient,4,7.2,0.00,196.19,-196.19,1,Canceled
2021-01-30,10151,Mexico,City,Direct,Transient,3,1,444.55,88.91,0.00,5,Check-Out
2021-01-30,10152,Spain,City,Direct,Transient,1,6.2,194.13,64.71,0.00,3,Check-Out
2021-01-30,10153,Netherlands,Resort,Direct,Transient-Party,4,8.4,408.03,136.01,0.00,3,Check-Out
2021-01-30,10154,Brazil,Resort,Direct,Group,2,7.3,991.70,198.34,0.00,5,Check-Out
2021-01-30,10155,Mexico,Resort,Online Travel Agent,Group,4,1,549.56,137.39,0.00,4,Check-Out
2021-01-30,10156,Germany,City,Online Travel Agent,Transient,1,3.6,130.36,130.36,0.00,1,Check-Out
2021-01-30,10157,USA,Resort,Direct,Group,4,2.5,246.56,123.28,0.00,2,Check-Out
2021-01-31,10158,Brazil,City,Online Travel Agent,Transient,4,6.3,114.92,114.92,0.00,1,Check-Out
2021-01-31,10159,USA,Resort,Direct,Transient-Party,4,3.2,398.00,99.50,0.00,4,Check-Out
2021-01-31,10160,Germany,Resort,Online Travel Agent,Transient-Party,1,7.8,0.00,179.80,-179.80,1,Canceled
2021-02-01,10161,India,Resort,Online Travel Agent,Transient,1,8.1,56.93,56.93,0.00,1,Check-Out
2021-02-01,10162,Portugal,City,Online Travel Agent,Transient,2,6.3,501.95,100.39,0.00,5,Check-Out
2021-02-01,10163,India,City,Online Travel Agent,Transient-Party,4,5.7,150.06,50.02,0.00,3,Check-Out
2021-02-02,10164,Netherlands,Resort,Direct,Group,4,9.1,83.80,83.80,0.00,1,Check-Out
2021-02-02,10165,India,Resort,Direct,Transient,4,8.9,142.41,142.41,0.00,1,Check-Out
2021-02-02,10166,USA,City,Online Travel Agent,Transient,1,5.7,128.31,128.31,0.00,1,Check-Out
2021-02-03,10167,Spain,City,Direct,Transient,1,0.9,158.24,79.12,0.00,2,Check-Out
2021-02-03,10168,Italy,City,Online Travel Agent,Transient-Party,3,4.8,106.97,106.97,0.00,1,Check-Out
2021-02-03,10169,Germany,City,Direct,Group,4,3.3,445.36,111.34,0.00,4,Check-Out
2021-02-03,10170,Mexico,Resort,Direct,Transient-Party,3,5.7,178.19,178.19,0.00,1,Check-Out
2021-02-03,10171,Germany,Resort,Direct,Transient,1,4.7,155.99,155.99,0.00,1,Check-Out
2021-02-03,10172,Brazil,City,Direct,Transient,2,6.7,506.48,126.62,0.00,4,Check-Out
2021-02-04,10173,Italy,City,Online Travel Agent,Transient,1,7,0.00,138.35,-138.35,1,Canceled
2021-02-04,10174,Italy,Resort,Online Travel Agent,Transient,1,8.6,755.44,188.86,0.00,4,Check-Out
2021-02-04,10175,USA,Resort,Direct,Transient,1,3,742.75,148.55,0.00,5,Check-Out
2021-02-04,10176,USA,Resort,Online Travel Agent,Transient-Party,3,6.3,459.32,114.83,0.00,4,Check-Out
2021-02-04,10177,Mexico,Resort,Direct,Group,1,5.5,496.04,124.01,0.00,4,Check-Out
2021-02-04,10178,Brazil,Resort,Direct,Transient-Party,3,5.9,487.74,162.58,0.00,3,Check-Out
2021-02-04,10179,Italy,City,Direct,Transient-Party,2,5.4,182.38,182.38,0.00,1,Check-Out
2021-02-05,10180,Portugal,Resort,Direct,Transient,1,5.8,662.40,132.48,0.00,5,Check-Out
2021-02-05,10181,USA,Resort,Direct,Transient-Party,4,5.5,105.03,105.03,0.00,1,Check-Out
2021-02-05,10182,Germany,Resort,Online Travel Agent,Transient,4,0.3,212.58,106.29,0.00,2,Check-Out
2021-02-05,10183,Mexico,City,Direct,Transient,3,5.8,0.00,156.45,-312.90,2,Canceled
2021-02-05,10184,India,City,Direct,Transient-Party,4,4.7,286.24,71.56,0.00,4,Check-Out
2021-02-05,10185,Portugal,Resort,Direct,Group,1,2,656.10,131.22,0.00,5,Check-Out
2021-02-06,10186,India,City,Online Travel Agent,Group,1,6.2,170.12,170.12,0.00,1,Check-Out
2021-02-06,10187,Mexico,Resort,Online Travel Agent,Transient,3,6.6,634.56,158.64,0.00,4,Check-Out
2021-02-06,10188,Netherlands,Resort,Online Travel Agent,Transient-Party,1,5.7,393.35,78.67,0.00,5,Check-Out
2021-02-06,10189,Spain,City,Direct,Transient,1,8.2,596.56,149.14,0.00,4,Check-Out
2021-02-06,10190,Mexico,Resort,Direct,Group,4,4.7,147.68,147.68,0.00,1,Check-Out
2021-02-06,10191,Germany,City,Online Travel Agent,Transient-Party,4,4.5,0.00,137.56,-687.80,5,Canceled
2021-02-06,10192,Spain,Resort,Direct,Group,4,5.4,205.34,102.67,0.00,2,Check-Out
2021-02-07,10193,USA,Resort,Direct,Transient-Party,3,6.6,0.00,61.75,-185.25,3,Canceled
2021-02-07,10194,India,Resort,Direct,Transient-Party,4,1.6,183.63,183.63,0.00,1,Check-Out
2021-02-07,10195,India,Resort,Online Travel Agent,Transient-Party,1,8.5,718.05,143.61,0.00,5,Check-Out
2021-02-08,10196,Netherlands,City,Direct,Transient-Party,3,1.6,164.55,164.55,0.00,1,Check-Out
2021-02-08,10197,Netherlands,Resort,Online Travel Agent,Transient-Party,1,6.6,396.48,198.24,0.00,2,Check-Out
2021-02-08,10198,Spain,City,Direct,Transient,2,0.9,310.24,155.12,0.00,2,Check-Out
2021-02-08,10199,Mexico,Resort,Online Travel Agent,Group,1,5.8,182.85,60.95,0.00,3,Check-Out
2021-02-08,10200,Germany,City,Direct,Transient,1,7.5,157.00,78.50,0.00,2,Check-Out
2021-02-08,10201,Italy,Resort,Direct,Group,4,4.3,276.76,138.38,0.00,2,Check-Out
2021-02-08,10202,Mexico,Resort,Online Travel Agent,Transient-Party,3,1.3,583.80,194.60,0.00,3,Check-Out
2021-02-09,10203,Netherlands,Resort,Online Travel Agent,Group,2,2.3,324.90,64.98,0.00,5,Check-Out
2021-02-09,10204,France,Resort,Online Travel Agent,Group,3,2.3,737.60,184.40,0.00,4,Check-Out
2021-02-09,10205,Germany,Resort,Online Travel Agent,Transient-Party,2,8,504.75,100.95,0.00,5,Check-Out
2021-02-09,10206,France,Resort,Online Travel Agent,Transient,2,2.6,708.90,141.78,0.00,5,Check-Out
2021-02-09,10207,Germany,City,Online Travel Agent,Transient,4,6.6,186.06,93.03,0.00,2,Check-Out
2021-02-10,10208,France,City,Online Travel Agent,Group,3,9.8,129.74,64.87,0.00,2,Check-Out
2021-02-10,10209,Portugal,Resort,Direct,Transient,1,3.5,598.05,119.61,0.00,5,Check-Out
2021-02-10,10210,USA,City,Online Travel Agent,Transient,2,6.8,108.41,108.41,0.00,1,Check-Out
2021-02-10,10211,Germany,City,Direct,Group,2,6.9,0.00,82.00,-328.00,4,Canceled
2021-02-10,10212,Italy,City,Online Travel Agent,Group,2,5.5,216.62,108.31,0.00,2,Check-Out
2021-02-10,10213,France,Resort,Direct,Group,2,3.4,331.40,165.70,0.00,2,Check-Out
2021-02-11,10214,Brazil,City,Direct,Transient-Party,2,7.4,606.72,151.68,0.00,4,Check-Out
2021-02-11,10215,France,City,Direct,Transient,4,5.4,103.10,51.55,0.00,2,Check-Out
2021-02-11,10216,Netherlands,Resort,Direct,Group,3,1.7,255.46,127.73,0.00,2,Check-Out
2021-02-11,10217,India,Resort,Direct,Group,2,2.3,285.90,57.18,0.00,5,Check-Out
2021-02-12,10218,Portugal,City,Online Travel Agent,Group,3,7.4,328.76,164.38,0.00,2,Check-Out
2021-02-12,10219,Germany,City,Direct,Transient,2,3.8,731.64,182.91,0.00,4,Check-Out
2021-02-12,10220,France,City,Online Travel Agent,Group,1,8.2,142.44,142.44,0.00,1,Check-Out
2021-02-12,10221,Spain,Resort,Online Travel Agent,Transient,4,3.7,113.30,56.65,0.00,2,Check-Out
2021-02-12,10222,Italy,City,Online Travel Agent,Transient-Party,3,5.8,0.00,174.10,-696.40,4,Canceled
2021-02-12,10223,France,Resort,Direct,Transient,3,8.8,0.00,109.12,-109.12,1,Canceled
2021-02-13,10224,Germany,City,Direct,Group,1,4.2,304.16,76.04,0.00,4,Check-Out
2021-02-13,10225,Portugal,Resort,Direct,Transient,2,4.4,208.64,52.16,0.00,4,Check-Out
2021-02-13,10226,Mexico,City,Direct,Transient,2,4.1,249.98,124.99,0.00,2,Check-Out
2021-02-14,10227,Germany,City,Online Travel Agent,Transient,3,3.2,399.69,133.23,0.00,3,Check-Out
2021-02-14,10228,Spain,Resort,Online Travel Agent,Transient,3,9.2,79.94,79.94,0.00,1,Check-Out
2021-02-14,10229,Italy,Resort,Direct,Transient-Party,3,1.8,524.85,104.97,0.00,5,Check-Out
2021-02-14,10230,Italy,Resort,Online Travel Agent,Group,3,6.1,0.00,68.91,-344.55,5,Canceled
2021-02-14,10231,India,City,Direct,Transient-Party,4,7.6,498.57,166.19,0.00,3,Check-Out
2021-02-14,10232,USA,City,Direct,Transient-Party,1,9.7,489.92,122.48,0.00,4,Check-Out
2021-02-14,10233,Italy,Resort,Online Travel Agent,Transient,3,2.8,365.72,91.43,0.00,4,Check-Out
2021-02-15,10234,France,Resort,Online Travel Agent,Transient,2,0.2,451.05,150.35,0.00,3,Check-Out
2021-02-15,10235,Spain,Resort,Online Travel Agent,Transient-Party,4,8.6,60.04,60.04,0.00,1,Check-Out
2021-02-15,10236,Germany,Resort,Direct,Group,4,1.5,0.00,168.65,-168.65,1,Canceled
2021-02-15,10237,USA,Resort,Direct,Group,1,4.7,788.05,157.61,0.00,5,Check-Out
2021-02-15,10238,France,Resort,Online Travel Agent,Transient-Party,2,4.4,964.40,192.88,0.00,5,Check-Out
2021-02-15,10239,Spain,City,Online Travel Agent,Transient,2,7.1,585.32,146.33,0.00,4,Check-Out
2021-02-16,10240,Mexico,Resort,Online Travel Agent,Transient-Party,3,6.1,339.58,169.79,0.00,2,Check-Out
2021-02-16,10241,Spain,Resort,Direct,Group,1,8.1,109.34,54.67,0.00,2,Check-Out
2021-02-16,10242,Mexico,Resort,Online Travel Agent,Transient,1,4.4,503.80,125.95,0.00,4,Check-Out
2021-02-16,10243,Mexico,Resort,Online Travel Agent,Transient-Party,4,7,917.30,183.46,0.00,5,Check-Out
2021-02-16,10244,Spain,City,Online Travel Agent,Transient,4,0.1,186.98,93.49,0.00,2,Check-Out
2021-02-17,10245,Netherlands,Resort,Online Travel Agent,Group,3,4.4,128.08,64.04,0.00,2,Check-Out
2021-02-17,10246,Mexico,Resort,Direct,Transient-Party,2,8.2,0.00,168.85,-168.85,1,Canceled
2021-02-17,10247,Spain,City,Online Travel Agent,Transient,1,3,0.00,119.08,-595.40,5,Canceled
2021-02-17,10248,Italy,Resort,Online Travel Agent,Transient-Party,1,7.4,150.35,150.35,0.00,1,Check-Out
2021-02-17,10249,Portugal,Resort,Direct,Group,3,9.7,680.52,170.13,0.00,4,Check-Out
2021-02-17,10250,Portugal,City,Online Travel Agent,Transient-Party,3,7.6,227.10,75.70,0.00,3,Check-Out
2021-02-17,10251,India,City,Online Travel Agent,Transient,1,8.7,0.00,196.33,-785.32,4,Canceled
2021-02-17,10252,France,Resort,Online Travel Agent,Transient,2,8.3,252.12,126.06,0.00,2,Check-Out
2021-02-17,10253,Brazil,City,Direct,Transient,4,3.3,277.76,138.88,0.00,2,Check-Out
2021-02-18,10254,Mexico,City,Direct,Transient-Party,2,3.7,190.53,63.51,0.00,3,Check-Out
2021-02-18,10255,France,City,Direct,Group,1,9.8,0.00,86.38,-86.38,1,Canceled
